               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078913,            0.052401,            0.015259,             0.52607,              0.6164,              0.5538,              0.2047,            0.057797,            0.033902,           0.0043082,            0.070045,           0.0033283,           0.0033283
                   1,            0.059248,             0.04062,           0.0049287,              0.7893,             0.73597,             0.76995,             0.30765,            0.048914,            0.033471,           0.0039289,             0.03998,           0.0065957,           0.0065957
                   2,            0.054737,            0.039506,           0.0040265,             0.87003,              0.7814,             0.83924,              0.3628,            0.045646,            0.032927,           0.0032727,           0.0098476,            0.009797,            0.009797
                   3,            0.049343,            0.038249,           0.0034682,             0.89479,             0.79993,             0.85504,             0.37026,            0.044636,            0.032857,            0.002616,            0.009703,            0.009703,            0.009703
                   4,            0.046804,            0.038616,           0.0030983,             0.88313,              0.8102,             0.84799,             0.36768,            0.044833,            0.032789,           0.0024392,            0.009703,            0.009703,            0.009703
                   5,            0.044806,            0.038643,           0.0024791,             0.90574,             0.80415,              0.8657,             0.38379,            0.043635,            0.032222,           0.0030107,            0.009604,            0.009604,            0.009604
                   6,            0.043291,             0.03672,           0.0023389,              0.8917,             0.80725,             0.86871,             0.39384,            0.043009,            0.032969,           0.0028509,            0.009505,            0.009505,            0.009505
                   7,            0.042398,            0.037149,            0.002257,             0.90247,             0.82741,             0.88322,             0.40336,            0.042215,            0.032092,           0.0023092,            0.009406,            0.009406,            0.009406
                   8,            0.041744,            0.036472,           0.0019639,             0.89944,             0.82585,             0.88269,             0.40342,            0.042401,            0.032025,           0.0025192,            0.009307,            0.009307,            0.009307
                   9,            0.041322,            0.036352,           0.0017466,             0.91811,             0.82071,              0.8819,             0.40043,            0.042666,            0.032356,           0.0028864,            0.009208,            0.009208,            0.009208
                  10,            0.040906,            0.035931,           0.0016155,             0.90317,             0.82457,             0.87697,             0.40512,            0.042586,            0.032575,            0.002492,            0.009109,            0.009109,            0.009109
                  11,            0.040225,            0.035524,           0.0016146,             0.89841,             0.82183,              0.8817,             0.40555,            0.042359,            0.032724,            0.002513,             0.00901,             0.00901,             0.00901
                  12,            0.039776,            0.036187,           0.0015096,              0.9007,             0.81987,             0.87177,             0.39818,            0.042869,             0.03246,           0.0022288,            0.008911,            0.008911,            0.008911
                  13,             0.03953,            0.035212,            0.001437,             0.89883,             0.84076,             0.88012,             0.40758,             0.04245,             0.03231,           0.0021879,            0.008812,            0.008812,            0.008812
                  14,            0.039408,            0.035103,           0.0013097,               0.907,              0.8329,             0.89002,             0.41038,            0.042147,            0.032105,           0.0020733,            0.008713,            0.008713,            0.008713
                  15,            0.038883,            0.035254,           0.0012775,             0.90799,             0.84183,             0.88814,             0.41456,            0.042258,            0.032275,           0.0026068,            0.008614,            0.008614,            0.008614
